1018236	1.0
1018237	3.0
1020719	0.0
1111288	1.0
1111289	3.0
1111290	7.0
1111291	14.0
1111292	20.0
1111293	23.0
1111294	24.0
1111307	0.0
1111506	1.0
1111507	3.0
1111508	7.0
1111509	14.0
1111510	20.0
1111511	23.0
1111512	24.0
1112009	0.0
1112218	1.0
1112219	8.0
1112220	16.0
1112221	19.0
1112222	20.0
1112223	21.0
1112234	0.0
1112407	1.0
1112408	4.0
1112409	13.0
1112410	19.0
1112411	21.0
1112412	22.0
1112413	23.0
1112414	24.0
1112423	0.0
1112486	1.0
1112487	8.0
1112488	17.0
1112489	21.0
1112490	23.0
1112491	24.0
1112909	0.0
1113124	1.0
1113125	9.0
1113126	20.0
1113127	24.0
1113779	0.0
1120350	1.0
1120351	4.0
1120352	9.0
1120353	16.0
1120354	21.0
1120355	24.0
1120460	0.0
2238273	1.0
2238274	5.0
2238275	9.0
2238276	16.0
2238277	23.0
2238278	24.0
2238289	2.0
2238290	5.0
2238291	9.0
2238292	16.0
2238293	23.0
2238294	24.0
2238664	0.0
2318807	1.0
2318808	2.0
2318809	4.0
2318810	8.0
2318811	16.0
2318812	20.0
2318813	22.0
2318814	23.0
2318815	25.0
2318823	0.0
2318883	1.0
2318884	7.0
2318885	16.0
2318886	20.0
2318887	22.0
2318888	23.0
2318889	25.0
2319069	24.0
2319095	23.0
2319113	24.0
2319157	25.0
2319174	24.0
2319176	25.0
2319240	24.0
2319269	23.0
2319281	24.0
2319296	23.0
2321113	0.0
2322539	1.0
2322540	6.0
2322541	14.0
2322542	18.0
2322543	20.0
2322544	21.0
2322545	23.0
2322578	24.0
2322591	25.0
2322598	25.0
2322604	24.0
2322606	23.0
2322615	24.0
2322616	25.0
2322623	25.0
2322629	24.0
2322631	23.0
2322686	24.0
2322687	25.0
2322760	24.0
2323278	25.0
2323294	24.0
2323801	25.0
2323852	24.0
2329912	25.0
2329927	1.0
2329928	0.0
2334129	1.0
2334169	0.0
2923743	1.0
2923744	5.0
2923745	10.0
2923746	13.0
2923747	15.0
2923748	17.0
2923759	0.0
4133896	1.0
4133897	7.0
4133898	13.0
4133899	15.0
4133966	0.0
4133971	1.0
4134456	0.0
